CNT,ST004D01T,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,HISCED,ICTRES,ESCS,PV1MATH,PV1READ,PV1SCIE
BRA,2.0,1.0,2.0,1.0,1.0,9.0,-1.3521,-0.8829,385.28,420.951,306.342
BRA,1.0,1.0,2.0,2.0,1.0,3.0,-2.9418,-2.9275,329.942,320.459,278.162
BRA,1.0,2.0,2.0,2.0,1.0,3.0,-2.6171,-2.8191,321.479,320.505,331.269
BRA,2.0,,,,,7.0,1.6096,0.985,399.273,413.353,309.573
BRA,1.0,2.0,2.0,2.0,1.0,5.0,-2.3153,-1.7605,262.548,257.118,290.025
BRA,1.0,2.0,2.0,2.0,1.0,5.0,-1.8776,-1.5839,329.799,412.089,350.846
BRA,2.0,1.0,2.0,1.0,1.0,10.0,-1.6164,0.164,280.111,322.66,286.149
BRA,2.0,1.0,1.0,1.0,1.0,5.0,-0.5443,-1.1344,471.899,423.488,443.011
BRA,2.0,1.0,1.0,2.0,1.0,8.0,-0.4823,0.898,510.64,573.771,565.267
BRA,2.0,1.0,,,,5.0,,-3.2543,426.002,313.728,333.613
BRA,2.0,1.0,1.0,2.0,1.0,,-1.1698,1.2778,376.258,363.347,405.854
BRA,2.0,1.0,1.0,2.0,1.0,5.0,-0.9016,-0.1624,335.905,342.462,375.953
BRA,1.0,1.0,1.0,1.0,1.0,10.0,-0.795,0.8974,440.36,366.254,402.351
BRA,2.0,1.0,2.0,2.0,1.0,7.0,-1.8007,-0.9665,411.28,508.789,417.332
BRA,1.0,1.0,2.0,2.0,1.0,8.0,-1.6012,-0.5761,394.943,465.035,471.371
BRA,1.0,1.0,2.0,2.0,1.0,3.0,-2.0273,-2.4121,349.99,388.994,281.918
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-0.1479,-1.1303,349.873,429.101,315.545
BRA,1.0,1.0,2.0,2.0,1.0,5.0,-1.8007,-0.9655,259.433,349.467,306.709
BRA,2.0,1.0,1.0,2.0,1.0,9.0,-0.0927,-0.3329,321.089,266.361,352.778
BRA,2.0,2.0,2.0,2.0,1.0,8.0,-2.2444,-0.6499,352.385,438.29,382.156
BRA,2.0,2.0,1.0,1.0,1.0,10.0,-1.0327,0.3607,393.68,380.406,445.471
BRA,2.0,1.0,1.0,1.0,1.0,2.0,0.4858,-2.0749,357.487,384.234,394.229
BRA,1.0,1.0,1.0,2.0,1.0,7.0,-0.8858,-0.8683,359.577,373.866,376.529
BRA,1.0,2.0,1.0,2.0,1.0,3.0,-1.0061,-1.0475,365.714,440.113,446.407
BRA,1.0,2.0,2.0,2.0,1.0,5.0,-1.8007,-1.7324,303.854,281.397,373.111
BRA,2.0,1.0,1.0,1.0,1.0,5.0,-0.8296,-1.3881,306.686,355.816,374.501
BRA,2.0,,,,,,,,444.259,425.275,428.031
BRA,1.0,1.0,2.0,2.0,1.0,7.0,-1.6406,-1.1365,405.724,410.627,485.159
BRA,1.0,1.0,1.0,1.0,1.0,9.0,0.3729,-0.0309,456.292,492.019,492.451
BRA,1.0,1.0,1.0,1.0,1.0,5.0,0.1511,-1.0064,349.942,416.379,400.801
BRA,1.0,2.0,2.0,1.0,1.0,5.0,-1.3403,-1.5648,304.857,329.595,279.67
BRA,2.0,1.0,1.0,1.0,1.0,10.0,-0.2148,0.2512,261.328,208.352,317.386
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-0.5731,-1.1618,387.518,415.348,342.623
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-1.2011,-0.0428,333.272,324.749,372.314
BRA,2.0,1.0,2.0,2.0,1.0,5.0,-1.6919,-1.8074,324.62,313.327,317.852
BRA,2.0,1.0,,,1.0,3.0,-1.9089,-2.1652,317.419,338.259,251.474
BRA,1.0,1.0,2.0,1.0,1.0,10.0,-2.556,-1.3089,267.718,191.952,229.523
BRA,1.0,1.0,2.0,2.0,1.0,10.0,-1.5259,-0.6619,311.037,438.163,400.296
BRA,2.0,1.0,2.0,2.0,1.0,2.0,-2.1487,-2.7247,482.916,546.801,514.794
BRA,2.0,1.0,2.0,1.0,1.0,7.0,-0.3623,-0.6267,487.077,531.021,569.072
BRA,2.0,2.0,1.0,1.0,1.0,5.0,-0.8053,-1.3599,385.936,444.84,412.98
BRA,2.0,1.0,1.0,1.0,1.0,10.0,-0.3,0.149,444.699,455.836,503.692
BRA,1.0,1.0,2.0,2.0,2.0,1.0,-3.2488,-3.8565,285.982,334.408,371.444
BRA,1.0,,,,,,,,443.018,418.519,485.555
BRA,2.0,,2.0,1.0,,10.0,-0.7956,-0.5756,246.533,260.378,225.693
BRA,1.0,2.0,1.0,2.0,1.0,8.0,-1.8983,-0.8575,293.773,230.804,265.703
BRA,1.0,2.0,2.0,2.0,1.0,5.0,-1.6919,-1.9836,319.612,326.582,380.132
BRA,2.0,1.0,2.0,2.0,1.0,,-1.5035,,357.21,269.196,363.15
BRA,2.0,2.0,2.0,2.0,2.0,5.0,-2.8806,-1.8898,352.868,321.459,355.648
BRA,2.0,1.0,1.0,1.0,1.0,8.0,-0.2543,-0.3258,493.424,552.979,552.762
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-0.78,-1.1978,411.277,531.151,507.869
BRA,1.0,2.0,2.0,1.0,1.0,2.0,-1.6511,-2.8608,342.544,407.186,488.657
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.2035,0.6833,563.579,599.979,524.498
BRA,2.0,1.0,1.0,1.0,1.0,8.0,-0.5542,0.204,432.679,479.681,486.446
BRA,2.0,1.0,1.0,1.0,1.0,10.0,-0.0976,0.6841,500.11,564.429,551.508
BRA,2.0,1.0,1.0,1.0,1.0,9.0,0.8858,1.0116,326.327,180.426,239.642
BRA,2.0,1.0,1.0,2.0,1.0,5.0,-1.1823,-1.1594,383.89,550.951,431.264
BRA,1.0,1.0,1.0,1.0,1.0,10.0,-1.7465,-0.0799,239.214,314.012,328.532
BRA,1.0,2.0,2.0,2.0,1.0,5.0,-1.912,-1.6741,386.68,396.607,429.339
BRA,1.0,1.0,2.0,1.0,1.0,8.0,-1.76,-0.5782,246.482,311.18,219.891
BRA,1.0,1.0,1.0,2.0,1.0,8.0,-1.1363,-0.2952,344.496,368.591,480.455
BRA,2.0,1.0,1.0,1.0,1.0,,-1.121,,366.783,399.319,449.68
BRA,1.0,2.0,2.0,2.0,1.0,9.0,-1.912,-0.6171,378.285,456.674,363.025
BRA,1.0,2.0,1.0,2.0,1.0,7.0,-1.4276,-1.3282,329.846,382.525,360.691
BRA,2.0,1.0,2.0,1.0,1.0,1.0,-1.76,-3.3066,409.532,476.394,410.041
BRA,2.0,2.0,1.0,2.0,1.0,9.0,-0.4137,-0.1063,272.088,297.276,337.567
BRA,2.0,1.0,2.0,1.0,1.0,7.0,-1.4625,-1.1675,423.14,441.099,505.759
BRA,2.0,1.0,2.0,2.0,1.0,,-2.248,-2.8449,369.614,430.829,465.375
BRA,1.0,1.0,1.0,1.0,1.0,9.0,-0.4245,0.6796,346.105,428.092,382.459
BRA,1.0,1.0,2.0,1.0,1.0,7.0,-1.171,-0.1709,302.234,411.309,354.932
BRA,2.0,1.0,1.0,2.0,1.0,8.0,-0.9399,0.568,417.037,479.014,556.837
BRA,2.0,1.0,1.0,1.0,1.0,8.0,-1.7465,-1.4885,252.79,188.17,262.961
BRA,2.0,1.0,1.0,1.0,1.0,8.0,0.3027,0.5338,542.004,452.08,507.427
BRA,1.0,2.0,1.0,1.0,1.0,8.0,-0.5542,0.1454,330.088,347.182,271.103
BRA,1.0,1.0,2.0,1.0,1.0,5.0,-1.6511,-0.4564,405.017,499.43,471.792
BRA,2.0,1.0,2.0,2.0,1.0,10.0,-2.3799,-1.1069,312.255,308.868,268.231
BRA,1.0,1.0,1.0,1.0,1.0,10.0,-0.8387,0.9307,460.053,561.885,554.94
BRA,2.0,1.0,1.0,2.0,1.0,2.0,-1.2576,-1.7607,378.361,450.542,376.764
BRA,2.0,2.0,1.0,2.0,2.0,3.0,-1.6196,-2.0328,271.788,195.716,212.995
BRA,2.0,1.0,1.0,1.0,1.0,8.0,0.6928,1.1522,484.165,543.555,559.242
BRA,2.0,1.0,1.0,2.0,1.0,5.0,-0.8976,-0.9086,406.055,475.531,471.295
BRA,2.0,,2.0,2.0,2.0,3.0,-3.5316,-3.4159,310.138,208.467,232.859
BRA,2.0,1.0,1.0,1.0,1.0,10.0,-0.1989,1.1514,506.048,500.27,522.003
BRA,1.0,1.0,2.0,2.0,1.0,5.0,-2.2424,-1.5538,391.496,513.815,392.852
BRA,2.0,1.0,2.0,1.0,1.0,8.0,-1.3367,-0.1688,382.927,310.631,405.342
BRA,2.0,2.0,1.0,,1.0,3.0,0.4557,-1.4196,427.542,453.018,476.595
BRA,2.0,1.0,1.0,1.0,1.0,9.0,0.0399,0.9303,315.723,458.837,387.128
BRA,1.0,1.0,2.0,2.0,1.0,3.0,-1.8246,-1.8206,405.049,531.643,445.583
BRA,2.0,1.0,1.0,,,,,,285.8,294.543,329.285
BRA,1.0,1.0,2.0,2.0,1.0,5.0,-2.1487,-1.8141,435.4,342.413,440.632
BRA,2.0,1.0,2.0,1.0,1.0,10.0,-2.0327,-0.7036,365.099,382.407,354.147
BRA,1.0,2.0,1.0,2.0,1.0,5.0,-0.7415,-1.5214,472.232,561.126,460.643
BRA,2.0,1.0,2.0,2.0,2.0,3.0,-2.144,-2.4674,357.394,351.978,319.602
BRA,2.0,2.0,1.0,2.0,1.0,10.0,-1.9731,-0.0398,347.967,348.455,392.496
BRA,1.0,1.0,2.0,2.0,1.0,3.0,-1.912,-2.4235,350.825,464.021,430.041
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-0.5542,-0.5031,435.311,457.961,479.673
BRA,2.0,1.0,1.0,2.0,1.0,8.0,-1.0061,-0.8439,339.202,368.377,379.155
BRA,1.0,2.0,1.0,2.0,1.0,8.0,-1.0061,-0.1478,370.64,393.703,566.732
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-1.2109,-0.5299,337.817,276.058,344.945
BRA,2.0,1.0,2.0,2.0,1.0,3.0,-1.9975,-2.2239,415.622,350.968,401.258
BRA,1.0,1.0,1.0,2.0,1.0,7.0,-1.1681,-0.5365,330.584,354.877,354.595
BRA,1.0,2.0,2.0,2.0,1.0,5.0,-2.3821,-1.5017,178.359,263.388,339.303
BRA,1.0,1.0,1.0,1.0,1.0,,-1.2532,,343.524,362.137,324.763
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-1.455,-1.4368,325.455,349.113,302.443
BRA,2.0,1.0,1.0,1.0,1.0,1.0,-0.9834,-2.6157,290.46,303.932,303.268
BRA,1.0,,,,,,,,327.613,345.841,388.865
BRA,1.0,1.0,2.0,1.0,1.0,5.0,-1.76,-1.6034,237.753,309.428,272.083
BRA,2.0,1.0,1.0,2.0,2.0,9.0,-1.7321,-0.6062,301.019,335.569,386.049
BRA,2.0,2.0,,,,10.0,3.56,0.4375,402.951,313.507,327.881
BRA,2.0,1.0,1.0,2.0,1.0,8.0,-1.4143,-1.0781,342.924,326.388,349.845
BRA,2.0,1.0,2.0,1.0,1.0,10.0,-1.2856,-0.6808,423.248,514.362,487.367
BRA,1.0,1.0,1.0,1.0,1.0,8.0,1.1171,0.9017,560.945,533.716,554.272
BRA,2.0,1.0,2.0,2.0,1.0,5.0,-1.6348,-0.9477,432.305,437.238,543.509
BRA,1.0,2.0,2.0,1.0,1.0,1.0,-2.1022,-3.0759,277.286,358.726,291.477
BRA,2.0,1.0,1.0,1.0,1.0,5.0,-0.7459,-1.3787,433.566,433.185,436.632
BRA,1.0,2.0,1.0,2.0,1.0,8.0,-1.1065,-1.0366,300.634,384.354,454.265
BRA,2.0,1.0,2.0,1.0,1.0,8.0,-1.3819,-0.3032,404.949,420.809,515.13
BRA,2.0,1.0,2.0,2.0,1.0,7.0,-2.1487,-0.4276,466.84,494.373,551.405
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-0.5443,-0.6201,423.411,520.583,405.277
BRA,1.0,2.0,1.0,1.0,1.0,5.0,-0.8053,-1.5737,286.743,413.548,255.1
BRA,2.0,1.0,2.0,1.0,1.0,2.0,-1.0447,-2.1387,431.81,435.99,489.771
BRA,1.0,2.0,1.0,2.0,1.0,8.0,-0.6117,-0.1471,342.978,474.918,407.091
BRA,2.0,1.0,1.0,1.0,1.0,3.0,-1.4251,-2.0227,301.942,317.725,331.159
BRA,2.0,2.0,1.0,2.0,1.0,8.0,0.5733,1.0871,417.793,424.681,544.63
BRA,2.0,1.0,1.0,2.0,1.0,5.0,-1.3992,-1.5998,313.708,415.657,301.253
BRA,2.0,1.0,1.0,2.0,1.0,8.0,-1.5637,0.218,430.641,459.83,368.847
BRA,1.0,1.0,1.0,2.0,1.0,8.0,-1.1363,-0.4511,386.025,369.459,526.681
BRA,2.0,1.0,2.0,2.0,1.0,5.0,-1.912,-1.6027,345.665,333.134,395.036
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-1.1991,-1.4887,293.505,287.162,292.36
BRA,1.0,1.0,1.0,1.0,1.0,3.0,-0.1989,-1.4855,287.448,497.29,340.17
BRA,1.0,1.0,1.0,1.0,1.0,9.0,-0.8053,0.1452,413.959,499.145,494.241
BRA,2.0,1.0,1.0,2.0,1.0,7.0,-0.4735,0.4102,387.501,431.864,426.765
BRA,2.0,1.0,1.0,1.0,1.0,7.0,0.2984,0.0445,309.246,295.8,356.795
BRA,1.0,1.0,2.0,1.0,1.0,5.0,-1.6769,-1.8808,426.897,476.393,431.092
BRA,2.0,1.0,,,1.0,1.0,-2.6675,-3.643,337.724,375.179,345.084
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.4089,1.0257,454.407,627.084,464.275
BRA,2.0,1.0,1.0,1.0,1.0,8.0,1.0766,0.3484,384.333,457.858,459.214
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-0.8053,-0.2434,446.861,464.391,521.106
BRA,2.0,1.0,1.0,2.0,1.0,8.0,-1.1823,-0.296,392.22,394.485,369.423
BRA,1.0,2.0,1.0,1.0,1.0,1.0,-1.0239,-3.0057,397.123,313.076,321.126
BRA,2.0,2.0,1.0,2.0,1.0,10.0,-0.7415,0.0991,322.134,362.977,365.488
BRA,2.0,2.0,2.0,1.0,1.0,5.0,-1.3521,-1.6612,389.829,452.279,434.837
BRA,1.0,1.0,1.0,1.0,1.0,10.0,1.5432,0.6587,339.319,359.868,386.416
BRA,2.0,1.0,2.0,2.0,1.0,7.0,-2.3821,-0.4311,412.428,437.595,523.209
BRA,2.0,1.0,1.0,1.0,1.0,8.0,-0.4979,1.0616,537.305,664.625,553.591
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-0.5039,-0.9725,470.201,440.575,400.151
BRA,1.0,1.0,1.0,2.0,1.0,8.0,-1.0061,0.8346,457.114,520.721,591.523
BRA,1.0,1.0,2.0,2.0,2.0,2.0,-3.5576,-3.2643,388.391,388.335,476.084
BRA,1.0,2.0,2.0,1.0,1.0,5.0,-1.3403,-1.3372,327.803,407.102,343.85
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-1.5714,-1.4879,394.986,422.706,372.316
BRA,1.0,1.0,1.0,1.0,1.0,5.0,0.0975,-0.9611,499.71,533.412,519.201
BRA,2.0,1.0,2.0,1.0,1.0,8.0,-2.7633,-0.1492,459.834,421.728,426.572
BRA,2.0,1.0,,,1.0,5.0,2.2764,-0.7263,271.499,283.04,271.255
BRA,1.0,1.0,2.0,2.0,1.0,5.0,-2.6528,-0.9548,383.73,329.983,341.357
BRA,1.0,,,,,,,,320.803,453.585,363.041
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-0.6544,-1.1777,345.521,403.552,384.737
BRA,2.0,1.0,2.0,2.0,1.0,2.0,-1.8007,-2.7502,420.766,354.015,416.578
BRA,2.0,1.0,1.0,1.0,1.0,7.0,-0.7408,0.1007,357.934,467.018,423.346
BRA,1.0,1.0,2.0,1.0,1.0,3.0,-1.6786,-1.8537,359.012,382.312,320.245
BRA,1.0,1.0,1.0,2.0,1.0,,0.881,,484.142,489.337,521.364
BRA,1.0,1.0,2.0,2.0,1.0,7.0,-1.7161,-0.9428,429.164,396.31,339.903
BRA,1.0,1.0,2.0,2.0,1.0,1.0,-1.6081,-3.1095,343.371,409.209,369.482
BRA,1.0,1.0,2.0,1.0,1.0,1.0,-2.4715,-3.9423,336.622,372.385,359.738
BRA,1.0,2.0,1.0,1.0,1.0,5.0,0.9339,-0.4757,414.515,491.145,508.755
BRA,1.0,,,,,,,,376.265,359.525,394.148
BRA,1.0,2.0,1.0,1.0,1.0,9.0,0.1511,0.1144,372.409,375.934,356.007
BRA,1.0,1.0,1.0,1.0,1.0,10.0,-1.3681,-0.3677,330.629,278.982,334.336
BRA,1.0,1.0,2.0,2.0,1.0,5.0,-2.1171,-1.2838,271.099,310.153,252.775
BRA,1.0,1.0,2.0,1.0,1.0,8.0,0.0386,0.6704,533.292,504.18,548.326
BRA,2.0,1.0,2.0,1.0,2.0,10.0,-1.6855,-0.9167,331.777,410.67,370.502
BRA,2.0,1.0,2.0,2.0,1.0,9.0,-2.1487,-0.9529,335.219,349.484,273.971
BRA,2.0,1.0,2.0,2.0,1.0,8.0,-2.0273,-1.1878,390.578,464.197,453.402
BRA,1.0,2.0,1.0,1.0,1.0,9.0,-1.1232,0.5588,242.299,296.973,255.907
BRA,2.0,2.0,2.0,2.0,2.0,2.0,-2.2733,-3.0447,330.145,305.677,423.29
BRA,2.0,1.0,2.0,1.0,1.0,10.0,-1.6511,-1.0031,344.383,253.844,301.291
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-0.9399,-1.3146,416.295,376.094,435.155
BRA,2.0,1.0,2.0,2.0,1.0,5.0,-2.1171,-1.8186,412.683,365.893,453.55
BRA,2.0,1.0,1.0,2.0,1.0,10.0,-1.4664,-0.9538,286.151,303.979,329.139
BRA,1.0,2.0,2.0,1.0,1.0,1.0,-2.4039,-3.5172,342.481,300.263,361.435
BRA,1.0,2.0,2.0,2.0,1.0,3.0,-2.0273,-1.2582,371.295,387.213,342.029
BRA,2.0,1.0,2.0,1.0,1.0,5.0,-1.8939,-1.3326,386.833,433.883,407.697
BRA,2.0,1.0,1.0,1.0,1.0,10.0,-0.0468,0.837,553.543,560.067,549.561
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.8053,0.5745,319.478,361.801,358.029
BRA,2.0,,,,1.0,5.0,-2.0653,-1.4547,428.609,511.638,479.863
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-0.5443,-0.6634,436.964,489.374,447.372
BRA,2.0,1.0,2.0,2.0,1.0,1.0,-1.912,-3.5345,403.292,409.827,441.226
BRA,2.0,1.0,2.0,1.0,1.0,5.0,-1.76,-1.392,451.511,331.437,397.179
BRA,1.0,1.0,1.0,1.0,1.0,10.0,0.6928,1.2272,622.333,652.478,717.703
BRA,2.0,1.0,1.0,1.0,1.0,5.0,-1.3432,-0.8034,452.885,445.828,517.105
BRA,1.0,2.0,1.0,2.0,1.0,2.0,-0.9545,-2.7979,355.707,302.256,403.869
BRA,2.0,1.0,1.0,2.0,1.0,3.0,-1.5064,-1.9693,438.33,531.464,484.339
BRA,1.0,1.0,1.0,1.0,2.0,1.0,-2.0697,-3.2144,336.754,229.605,393.541
BRA,2.0,,,,,,,,482.415,524.693,531.307
BRA,1.0,1.0,1.0,1.0,1.0,5.0,-1.3005,-1.4046,499.498,622.342,600.111
BRA,2.0,1.0,1.0,1.0,1.0,5.0,-0.9913,-1.6716,434.053,526.011,507.114
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.4979,0.0798,435.631,551.478,464.123
BRA,1.0,2.0,1.0,2.0,1.0,3.0,-1.3724,-2.0075,403.661,493.652,441.267
BRA,2.0,,,1.0,,7.0,-0.8606,0.7785,382.006,370.115,388.603
BRA,1.0,1.0,1.0,1.0,1.0,10.0,-0.2543,0.9445,520.109,567.36,583.91
BRA,2.0,1.0,1.0,2.0,1.0,10.0,-0.9545,-0.5173,346.885,484.869,423.691
BRA,2.0,1.0,1.0,1.0,1.0,8.0,0.3027,0.1564,576.961,589.072,635.925
BRA,2.0,1.0,2.0,1.0,1.0,7.0,-1.5432,-0.6858,393.439,418.952,354.977
BRA,1.0,1.0,2.0,2.0,1.0,2.0,-1.8007,-2.2873,352.065,362.706,302.852
BRA,2.0,2.0,1.0,1.0,1.0,10.0,-0.0487,-0.2893,378.797,425.323,378.85
BRA,2.0,,,,,,,,368.311,386.178,361.195
BRA,1.0,1.0,1.0,1.0,1.0,3.0,-1.2214,-2.0479,309.292,361.985,395.061
BRA,2.0,1.0,2.0,1.0,1.0,5.0,-1.031,0.0084,386.199,419.735,427.922
BRA,1.0,1.0,1.0,2.0,1.0,7.0,-0.5262,0.1862,456.458,420.193,480.895
BRA,2.0,1.0,1.0,1.0,1.0,5.0,-0.5542,-1.293,387.317,421.664,356.979
BRA,1.0,2.0,2.0,1.0,1.0,8.0,-1.7878,-1.0623,324.593,388.387,399.958
BRA,1.0,1.0,1.0,1.0,1.0,8.0,0.37,1.1123,362.289,554.138,528.856
BRA,2.0,1.0,2.0,2.0,1.0,10.0,-1.4931,0.2424,459.584,469.413,475.528
BRA,2.0,,,1.0,2.0,9.0,-2.7977,-1.1248,265.523,287.054,432.344
BRA,1.0,1.0,2.0,1.0,1.0,8.0,-1.5432,0.0863,351.214,529.769,494.171
BRA,1.0,2.0,2.0,1.0,1.0,8.0,-1.7078,-0.748,327.101,244.256,344.513
BRA,1.0,1.0,2.0,2.0,1.0,8.0,-2.1171,-0.2618,350.498,392.324,456.937
BRA,1.0,1.0,1.0,2.0,1.0,9.0,0.5304,0.2891,509.039,483.897,545.045
BRA,2.0,1.0,1.0,1.0,1.0,9.0,-0.0392,0.1376,415.425,462.479,375.297
BRA,2.0,1.0,1.0,1.0,1.0,7.0,-1.3121,-0.9934,495.244,496.353,513.608
BRA,1.0,2.0,2.0,1.0,1.0,3.0,-2.0711,-2.1848,369.105,419.111,356.717
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.681,0.4657,421.688,572.038,469.68
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.5443,0.3243,509.701,629.036,562.86
BRA,1.0,,,,,,,,445.339,412.282,449.487
BRA,1.0,1.0,1.0,1.0,1.0,,-1.3297,,321.472,373.638,342.541
BRA,2.0,1.0,2.0,2.0,1.0,5.0,-2.8355,-1.714,352.474,393.787,323.035
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.5443,0.7349,429.096,467.336,404.823
BRA,2.0,1.0,1.0,1.0,1.0,8.0,-0.7408,0.3003,436.024,463.274,472.231
BRA,2.0,1.0,1.0,1.0,1.0,8.0,-1.7465,0.6797,316.925,446.87,455.825
BRA,2.0,2.0,2.0,2.0,2.0,1.0,-5.0283,-4.6706,362.262,345.748,429.58
BRA,2.0,1.0,2.0,1.0,1.0,5.0,-2.0618,-1.78,339.255,346.206,300.971
BRA,2.0,1.0,2.0,1.0,1.0,10.0,-1.569,-0.1197,304.945,333.702,356.104
BRA,1.0,2.0,2.0,2.0,1.0,5.0,-1.4931,-0.9858,484.752,525.933,566.942
BRA,1.0,1.0,2.0,1.0,1.0,5.0,-2.1954,-1.811,278.762,293.249,285.762
BRA,1.0,1.0,1.0,1.0,1.0,3.0,-0.2035,-1.0116,423.526,510.458,441.368
BRA,2.0,1.0,1.0,2.0,1.0,9.0,-0.1102,-0.6546,388.533,354.096,384.962
BRA,1.0,1.0,2.0,1.0,1.0,7.0,-2.4039,-1.5134,402.28,460.143,419.109
BRA,1.0,2.0,2.0,2.0,1.0,8.0,-2.0273,-0.7189,393.616,464.675,403.502
BRA,1.0,2.0,1.0,1.0,1.0,10.0,0.398,0.1381,253.565,354.779,365.307
BRA,1.0,2.0,2.0,1.0,1.0,2.0,-1.3521,-2.7963,325.911,338.5,331.818
BRA,1.0,1.0,1.0,1.0,1.0,8.0,-0.8133,-0.5392,392.976,509.437,447.497
BRA,2.0,1.0,2.0,2.0,1.0,7.0,-1.8007,-0.619,302.348,383.598,315.83
BRA,2.0,1.0,1.0,1.0,1.0,8.0,0.0064,0.043,475.527,499.805,532.492
BRA,1.0,1.0,2.0,2.0,1.0,7.0,-2.3821,-0.522,301.183,363.419,320.945
BRA,2.0,,,,,5.0,,,332.034,342.824,345.79
BRA,2.0,2.0,2.0,2.0,1.0,7.0,-2.3821,-0.9816,403.304,399.142,447.38
BRA,1.0,1.0,2.0,2.0,1.0,7.0,-2.3821,-1.3982,328.334,404.219,369.15
BRA,2.0,2.0,2.0,2.0,1.0,3.0,-1.6919,-2.0485,356.284,426.129,375.769
BRA,1.0,1.0,1.0,2.0,1.0,8.0,-0.4691,1.1021,434.514,511.862,508.852
BRA,2.0,1.0,1.0,2.0,1.0,9.0,-0.9714,-0.7164,385.257,468.837,438.08
BRA,1.0,2.0,1.0,2.0,1.0,1.0,-1.3009,-3.2444,448.201,491.598,401.528
BRA,2.0,1.0,2.0,1.0,1.0,7.0,-2.134,-1.1643,409.449,463.35,469.658
BRA,2.0,1.0,1.0,1.0,1.0,8.0,0.5743,1.41,628.338,656.368,715.371
BRA,2.0,1.0,2.0,2.0,1.0,1.0,-2.0273,-2.8651,449.428,513.005,580.153
BRA,2.0,1.0,1.0,2.0,1.0,5.0,-1.3724,-1.3011,415.859,461.337,446.816
BRA,1.0,1.0,2.0,1.0,1.0,9.0,-1.5999,-0.3287,329.106,450.734,427.119
BRA,2.0,1.0,2.0,2.0,1.0,8.0,-1.912,-0.6495,479.878,559.277,530.754
BRA,2.0,,,,,,,,403.893,496.953,423.699
BRA,1.0,1.0,2.0,2.0,1.0,1.0,-2.3821,-3.4346,311.541,331.299,371.234
BRA,1.0,1.0,2.0,2.0,1.0,5.0,-2.2785,-1.8886,307.962,325.193,392.973
BRA,2.0,1.0,1.0,2.0,1.0,5.0,-0.4378,-1.4458,421.239,460.882,517.822
BRA,1.0,,1.0,1.0,1.0,10.0,-1.0397,-0.3177,306.469,291.9,276.357
BRA,1.0,1.0,2.0,2.0,2.0,3.0,-2.1739,-2.1975,271.077,354.174,302.335
BRA,1.0,2.0,2.0,1.0,1.0,5.0,-1.3403,-1.174,543.498,460.496,489.33
BRA,2.0,2.0,2.0,2.0,1.0,5.0,-2.3821,-2.181,338.248,339.402,440.607
BRA,1.0,1.0,2.0,2.0,1.0,5.0,-2.5324,-2.0737,353.555,309.886,395.188
BRA,1.0,1.0,2.0,2.0,1.0,7.0,-1.8007,-1.3213,278.097,433.11,379.919
BRA,1.0,1.0,1.0,2.0,1.0,8.0,-1.7392,0.1326,327.719,296.355,368.441
BRA,2.0,1.0,2.0,2.0,1.0,8.0,-1.3228,-0.3729,324.142,375.543,370.965
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-1.2656,-0.9068,394.413,488.155,455.824
BRA,2.0,2.0,1.0,1.0,1.0,8.0,-0.4979,-0.2453,481.516,580.437,544.724
BRA,2.0,,,,1.0,3.0,-1.675,-2.1532,270.296,294.945,249.002
BRA,1.0,1.0,1.0,1.0,1.0,8.0,0.0741,0.845,504.785,550.661,512.792
BRA,1.0,2.0,1.0,2.0,1.0,7.0,-1.7927,-1.3398,400.34,408.195,443.813
BRA,1.0,2.0,2.0,2.0,1.0,3.0,-2.2444,-2.5373,388.515,405.372,390.337
BRA,2.0,2.0,2.0,1.0,1.0,3.0,-1.8696,-2.3566,274.377,365.22,381.76
BRA,1.0,1.0,1.0,1.0,1.0,3.0,-0.4979,-1.2025,405.295,491.431,422.638
BRA,1.0,1.0,1.0,2.0,1.0,5.0,-1.0061,-0.3506,433.305,458.624,418.654
BRA,1.0,1.0,2.0,2.0,1.0,2.0,-2.2444,-2.9993,294.912,356.435,271.206
