CNT,ST004D01T,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,HISCED,ICTRES,ESCS,PV1MATH,PV1READ,PV1SCIE
ARG,2.0,,,,,,,,407.208,450.81,427.398
ARG,2.0,2.0,1.0,1.0,1.0,9.0,-0.8326,-0.4043,307.221,200.082,341.653
ARG,2.0,1.0,2.0,,2.0,3.0,-3.7993,-1.5288,268.399,278.135,304.251
ARG,1.0,2.0,2.0,2.0,1.0,5.0,-2.1337,-1.9285,352.25,302.981,318.015
ARG,2.0,1.0,1.0,2.0,1.0,9.0,-1.0568,0.594,392.9,546.604,416.685
ARG,2.0,2.0,2.0,2.0,1.0,3.0,-0.8635,-1.9746,414.452,390.729,378.037
ARG,1.0,1.0,1.0,1.0,1.0,8.0,0.9113,1.1345,475.509,523.037,501.496
ARG,2.0,2.0,2.0,2.0,2.0,8.0,-3.0492,-1.7138,397.821,471.923,460.138
ARG,2.0,1.0,1.0,1.0,1.0,8.0,-0.2991,-0.5453,358.97,410.22,327.505
ARG,1.0,2.0,1.0,1.0,1.0,6.0,-1.0539,-1.2693,387.702,450.674,437.058
ARG,1.0,2.0,2.0,2.0,2.0,9.0,-2.2549,-1.17,377.141,347.337,386.148
ARG,2.0,1.0,1.0,1.0,1.0,5.0,-0.4795,-0.8905,467.343,424.565,441.268
ARG,2.0,1.0,2.0,2.0,2.0,9.0,-2.7466,-0.271,352.191,313.933,332.439
ARG,2.0,2.0,2.0,2.0,1.0,6.0,-2.0814,-1.825,348.076,399.15,412.218
ARG,2.0,1.0,1.0,2.0,1.0,6.0,-0.7809,-1.3468,547.179,519.638,563.084
ARG,1.0,1.0,2.0,2.0,1.0,10.0,-1.7137,-0.2333,372.147,297.822,404.028
ARG,1.0,1.0,1.0,1.0,1.0,6.0,-0.648,-0.9259,449.007,454.944,459.254
ARG,1.0,1.0,1.0,1.0,1.0,6.0,-0.5617,-0.771,391.942,373.822,393.582
ARG,2.0,2.0,2.0,1.0,1.0,6.0,-0.9294,-1.1446,433.064,422.771,436.907
ARG,2.0,2.0,1.0,2.0,1.0,6.0,-1.1011,-1.1843,524.454,532.021,484.302
ARG,2.0,1.0,1.0,1.0,1.0,6.0,-1.4237,-0.9736,361.007,352.679,338.842
ARG,1.0,1.0,1.0,1.0,1.0,6.0,-0.8127,-1.2867,454.425,545.071,529.747
ARG,2.0,1.0,1.0,1.0,1.0,6.0,-0.8712,-1.0558,318.302,326.105,369.762
ARG,1.0,1.0,1.0,1.0,1.0,9.0,-0.7573,-0.4039,399.339,418.524,442.124
ARG,2.0,,,,,9.0,,-1.2657,254.72,320.07,312.108
ARG,2.0,1.0,1.0,1.0,1.0,10.0,0.9815,1.4325,317.89,397.149,342.927
ARG,2.0,1.0,1.0,2.0,1.0,10.0,-0.2474,0.275,240.676,241.906,276.546
ARG,2.0,1.0,1.0,1.0,1.0,10.0,0.8732,0.0936,431.075,581.633,534.181
ARG,1.0,1.0,2.0,1.0,1.0,10.0,-1.3431,0.2526,420.763,522.8,375.443
ARG,2.0,1.0,2.0,2.0,1.0,10.0,-1.7137,0.2271,437.675,424.932,472.719
ARG,2.0,1.0,1.0,2.0,1.0,2.0,-2.4753,-2.7899,359.033,392.53,360.518
ARG,1.0,2.0,1.0,1.0,1.0,5.0,-0.3401,-0.5712,387.276,442.358,520.458
ARG,1.0,1.0,1.0,1.0,1.0,5.0,-0.6379,-0.1493,385.651,428.852,432.919
ARG,2.0,1.0,2.0,1.0,1.0,10.0,-1.6738,0.0091,438.944,478.832,478.622
ARG,2.0,1.0,1.0,2.0,1.0,9.0,0.8374,0.4122,416.685,424.665,508.268
ARG,1.0,1.0,1.0,1.0,1.0,8.0,0.5305,0.7056,381.77,394.34,391.021
ARG,1.0,1.0,2.0,2.0,1.0,5.0,-1.9303,-1.8022,400.229,392.703,394.515
ARG,2.0,1.0,1.0,2.0,2.0,6.0,-1.5233,-0.843,283.384,307.787,363.121
ARG,1.0,2.0,2.0,1.0,1.0,6.0,-1.1553,-1.043,350.069,351.214,361.197
ARG,1.0,2.0,1.0,1.0,1.0,7.0,-0.022,-0.2404,343.283,400.858,393.591
ARG,2.0,1.0,1.0,1.0,1.0,10.0,-0.8024,0.3777,438.234,423.193,504.837
ARG,1.0,1.0,1.0,1.0,1.0,10.0,1.1371,1.0698,361.06,425.876,474.571
ARG,1.0,1.0,1.0,1.0,1.0,6.0,-0.9533,-0.9988,406.184,460.208,428.377
ARG,1.0,1.0,1.0,1.0,1.0,9.0,-0.4797,0.7092,342.379,414.171,392.269
ARG,2.0,2.0,1.0,1.0,1.0,8.0,0.0346,0.6615,533.307,652.958,584.807
ARG,1.0,2.0,1.0,1.0,1.0,5.0,0.2048,0.0322,364.346,391.056,347.01
ARG,2.0,2.0,1.0,1.0,1.0,7.0,-0.9021,-1.1751,332.952,416.806,344.712
ARG,2.0,2.0,2.0,2.0,2.0,5.0,-3.1199,-1.5682,346.387,274.451,371.277
ARG,1.0,2.0,1.0,1.0,1.0,8.0,-0.4947,0.3975,404.04,447.101,407.906
ARG,2.0,1.0,1.0,1.0,1.0,9.0,1.2735,0.7971,360.007,456.16,387.567
ARG,1.0,1.0,1.0,2.0,1.0,6.0,-0.8885,-0.599,319.842,362.719,325.813
ARG,2.0,1.0,1.0,1.0,1.0,8.0,-0.4681,0.975,540.868,549.931,537.881
ARG,2.0,1.0,1.0,1.0,1.0,7.0,-0.8127,-1.1639,352.484,442.46,320.508
ARG,1.0,1.0,1.0,1.0,1.0,10.0,0.0346,0.4078,360.87,311.41,388.352
ARG,1.0,2.0,1.0,1.0,1.0,8.0,-0.648,0.176,448.523,467.826,472.179
ARG,2.0,1.0,2.0,2.0,2.0,5.0,-2.841,-2.0012,377.994,415.285,451.88
ARG,2.0,1.0,1.0,1.0,1.0,8.0,0.5748,0.6294,428.074,345.669,431.978
ARG,1.0,1.0,1.0,1.0,1.0,6.0,0.1927,-0.6266,496.339,448.365,550.663
ARG,2.0,2.0,2.0,2.0,1.0,3.0,-2.1298,-2.4415,347.569,358.592,392.58
ARG,1.0,1.0,,,,9.0,0.3088,-0.3019,308.897,376.741,413.648
ARG,2.0,1.0,1.0,1.0,1.0,10.0,-1.4813,-0.19,374.889,429.072,478.251
ARG,1.0,1.0,1.0,2.0,1.0,5.0,-1.0027,-0.9895,322.027,388.594,365.271
ARG,2.0,1.0,1.0,1.0,2.0,10.0,-2.1946,-0.5787,291.419,292.673,259.127
ARG,2.0,1.0,2.0,2.0,1.0,10.0,-1.1436,-0.3786,372.35,377.952,351.321
ARG,1.0,2.0,1.0,1.0,1.0,8.0,0.312,1.3172,455.531,462.568,442.313
ARG,1.0,1.0,2.0,1.0,1.0,7.0,-0.3629,-0.1986,461.79,473.096,540.413
ARG,1.0,2.0,1.0,1.0,1.0,8.0,-0.1532,0.9533,520.289,553.963,491.693
